categoryId,name,moreHoursTypes,serviceTypes
gcid:aadhar_center,Aadhaar center,"Access, Breakfast, Brunch, Delivery, Dinner, Drive-through, Happy hours, Kitchen, Lunch, Online operating hours, Pick-up, Takeaway, Hours for the elderly",
gcid:abarth_dealer,Abarth dealer,"Access, Breakfast, Brunch, Delivery, Dinner, Drive-through, Happy hours, Kitchen, Lunch, Online operating hours, Pick-up, Takeaway, Hours for the elderly",
gcid:abbey,Abbey,"Access, Breakfast, Brunch, Delivery, Dinner, Kitchen, Lunch, Online operating hours, Pick-up, Takeaway, Hours for the elderly, Prayer",
gcid:aboriginal_and_torres_strait_islander_organisation,Aboriginal and Torres Strait Islander organisation,"Access, Breakfast, Brunch, Delivery, Dinner, Drive-through, Happy hours, Kitchen, Lunch, Online operating hours, Pick-up, Takeaway, Hours for the elderly",
gcid:aboriginal_art_gallery,Aboriginal art gallery,"Access, Breakfast, Brunch, Delivery, Dinner, Drive-through, Happy hours, Kitchen, Lunch, Online operating hours, Pick-up, Takeaway, Hours for the elderly",
gcid:abortion_clinic,Abortion clinic,"Breakfast, Delivery, Dinner, Drive-through, Lunch, Online operating hours, Pick-up, Hours for the elderly",
gcid:abrasives_supplier,Abrasives supplier,"Access, Breakfast, Brunch, Delivery, Dinner, Drive-through, Happy hours, Kitchen, Lunch, Online operating hours, Pick-up, Takeaway, Hours for the elderly",
gcid:abundant_life_church,Abundant Life church,"Access, Breakfast, Brunch, Delivery, Dinner, Kitchen, Lunch, Online operating hours, Pick-up, Takeaway, Hours for the elderly, Prayer, Worship service",
gcid:acai_shop,Açaí shop,"Access, Breakfast, Brunch, Delivery, Dinner, Drive-through, Happy hours, Kitchen, Lunch, Online operating hours, Takeaway, Hours for the elderly",
gcid:acaraje_restaurant,Acaraje restaurant,"Access, Breakfast, Brunch, Delivery, Dinner, Drive-through, Happy hours, Kitchen, Lunch, Online operating hours, Takeaway, Hours for the elderly",
gcid:accountant,Accountant,"Breakfast, Dinner, Drive-through, Lunch, Online operating hours, Hours for the elderly","Accounting audits, Accounting practices consulting, Accounting services, Administration services, Bankruptcy tax litigation, Business consulting, Business tax planning, Business tax return preparation, Debt collection relief assistance, Financial analysis of business plans, General bookkeeping, Individual income tax return preparation, Individual tax planning, IRS representation & resolution, Payroll accounting, Proof of income received statement issuance, Tax analysis of financial plans, Tax refund processing, Trusts & estates accounting"
gcid:accounting_firm,Accounting firm,"Breakfast, Dinner, Drive-through, Lunch, Online operating hours, Hours for the elderly",
gcid:accounting_school,Accounting school,"Breakfast, Dinner, Drive-through, Lunch, Online operating hours, Hours for the elderly",
gcid:acoustical_consultant,Acoustical consultant,"Access, Breakfast, Brunch, Delivery, Dinner, Drive-through, Happy hours, Kitchen, Lunch, Online operating hours, Pick-up, Takeaway, Hours for the elderly",
gcid:acrobatic_diving_pool,Acrobatic diving pool,"Access, Breakfast, Brunch, Delivery, Dinner, Drive-through, Happy hours, Kitchen, Lunch, Online operating hours, Pick-up, Takeaway, Hours for the elderly",
gcid:acrylic_store,Acrylic store,"Access, Breakfast, Brunch, Delivery, Dinner, Drive-through, Happy hours, Kitchen, Lunch, Online operating hours, Pick-up, Takeaway, Hours for the elderly",
gcid:acupuncture_clinic,Acupuncture clinic,"Breakfast, Delivery, Dinner, Drive-through, Lunch, Online operating hours, Pick-up, Hours for the elderly",
gcid:acupuncture_school,Acupuncture school,"Access, Breakfast, Brunch, Delivery, Dinner, Drive-through, Happy hours, Kitchen, Lunch, Online operating hours, Pick-up, Takeaway, Hours for the elderly",
gcid:acupuncturist,Acupuncturist,"Breakfast, Delivery, Dinner, Drive-through, Lunch, Online operating hours, Pick-up, Hours for the elderly",
gcid:acura_dealer,Acura dealer,"Access, Breakfast, Brunch, Delivery, Dinner, Drive-through, Happy hours, Kitchen, Lunch, Online operating hours, Pick-up, Takeaway, Hours for the elderly",
gcid:addiction_treatment_center,Addiction treatment center,"Breakfast, Delivery, Dinner, Drive-through, Lunch, Online operating hours, Pick-up, Hours for the elderly",
gcid:administrative_attorney,Administrative attorney,"Access, Breakfast, Brunch, Delivery, Dinner, Drive-through, Happy hours, Kitchen, Lunch, Online operating hours, Pick-up, Takeaway, Hours for the elderly",
gcid:adoption_agency,Adoption agency,"Access, Breakfast, Brunch, Delivery, Dinner, Drive-through, Happy hours, Kitchen, Lunch, Online operating hours, Pick-up, Takeaway, Hours for the elderly",
gcid:adult_day_care_center,Adult day care center,"Access, Breakfast, Brunch, Delivery, Dinner, Drive-through, Happy hours, Kitchen, Lunch, Online operating hours, Pick-up, Takeaway, Hours for the elderly",
gcid:adult_dvd_store,Adult DVD store,"Access, Breakfast, Brunch, Delivery, Dinner, Drive-through, Happy hours, Kitchen, Lunch, Online operating hours, Pick-up, Takeaway, Hours for the elderly",
